reference,vwc_bin,n_regions,dr_sr_veg,dr_sr_rough,dr_sm
SMAP,0.0,2,0.004680637608989097,0.17376855564454277,0.16513502035883967
SMAP,1.0,3,-0.009745585204422915,0.2418413248961533,0.27885010413615835
SMAP,2.0,5,-0.017387468357792417,0.3249415244290246,0.3484988081754832
SMAP,3.0,5,-0.034180133720229676,0.7216848910214518,0.6861840815178522
SMAP,4.0,5,0.048622368064952834,0.6779986058382919,0.6021948832411879
SMAP,5.0,2,0.12947639623348606,0.5003053146011728,0.4704051185540433
SMAP,6.0,2,0.11823007715093756,0.3713842826145976,0.3560668280803792
SMAP,7.0,2,0.15668144416688545,0.3702557635828285,0.3483729336148432
SMAP,8.0,2,0.1554823768014971,0.37363366795292624,0.2728419838793996
ERA5-Land,0.0,3,0.06569238508147392,0.44316362938432113,0.46812039413788137
ERA5-Land,1.0,3,-0.015821479242631265,0.48323765938768504,0.5027539902200423
ERA5-Land,2.0,5,-0.0393409316095983,0.348247486210818,0.37587426071017344
ERA5-Land,3.0,5,-0.03467807354764045,0.49501195391718744,0.4899434518437923
ERA5-Land,4.0,5,0.007001072252833959,0.5209273740417979,0.5580670440324734
ERA5-Land,5.0,2,0.0587542372400979,0.4480016059714215,0.3991233493955757
ERA5-Land,6.0,2,0.013262742661005491,0.35751620833597525,0.33313189301323703
ERA5-Land,7.0,2,0.09049410308867573,0.41961968627849133,0.3684636517443262
ERA5-Land,8.0,2,0.0339040595214657,0.2817863268028853,0.15418128197447212
