region,rank,class,pct_cells
Pakistan (Sindh),1,Open Shrublands,40.32846715328467
Pakistan (Sindh),2,Croplands,32.40875912408759
Pakistan (Sindh),3,Barren or Sparsely Vegetated,26.824817518248175
Mosambique,1,Woody Savannas,53.06781485468245
Mosambique,2,Savannas,46.60925726587729
Mosambique,3,Permanent Wetlands,0.32292787944025836
Central African Republic,1,Woody Savannas,57.84403669724771
Central African Republic,2,Savannas,42.11009174311926
Central African Republic,3,Cropland/Natural Vegetation Mosaic,0.045871559633027525
Guatemala & Honduras,1,Evergreen Broadleaf Forest,43.282077136375094
Guatemala & Honduras,2,Cropland/Natural Vegetation Mosaic,33.148474918074115
Guatemala & Honduras,3,Woody Savannas,15.578522813208973
Brasil,1,Savannas,52.53658536585366
Brasil,2,Grasslands,19.51219512195122
Brasil,3,Croplands,14.21951219512195
"Mississippi, US",1,Mixed Forest,40.887066716362284
"Mississippi, US",2,Woody Savannas,29.407379798732762
"Mississippi, US",3,Croplands,22.325754752143123
