region,variant,r_smap,nrmse_smap,r_era5,nrmse_era5
Pakistan (Sindh),SR,0.918963655410935,0.1592275575342309,0.6494494762372585,0.2527585247804275
,SR_veg,0.9111895242983608,0.1535219785926823,0.6714359382302918,0.24126039380397915
,SR_rough,0.9296861956203428,0.14651603193465737,0.6066484057611699,0.2447111718327855
,SM,0.9534312172541595,0.11738077523553384,0.6452091053902135,0.19470427252566186
Mosambique,SR,-0.05874182494656291,0.25126734233307285,-0.14478386949936847,0.254377163063789
,SR_veg,-0.32527471589440243,0.2913317654290969,-0.3908174266784521,0.28677912104754844
,SR_rough,0.5736200579954767,0.18955259554895493,0.4520755457641994,0.18961277699706644
,SM,0.621170305479239,0.14967213998852155,0.4550588825660362,0.19468499987774526
Central African Republic,SR,-0.7460049744046766,0.4587664982509099,0.08368661548843097,0.34468478505027267
,SR_veg,-0.7965786863923833,0.5059123641765696,0.10023162510008199,0.37247074492322135
,SR_rough,0.3571962348014078,0.2660508521428735,-0.27715189139553625,0.3501001165658491
,SM,0.21776239382226903,0.27344318468651546,0.09974083860098783,0.2810379814487924
Guatemala & Honduras,SR,0.2393734664881048,0.2235243796136864,0.13782072470145446,0.3268269668770586
,SR_veg,0.5015295731492635,0.1768421421460391,0.15889380752276955,0.29789328953903066
,SR_rough,0.6343976524552617,0.1968111085304504,0.37897062480814403,0.1939220771805633
,SM,0.4882352395382889,0.20712708971398466,0.24473768323109957,0.21564953511271812
Brasil,SR,0.13328674719197664,0.25917515336909447,0.038398101402751406,0.32151703591099895
,SR_veg,0.12628141477475982,0.27917298593768675,-0.0035622645020122433,0.3193536872071996
,SR_rough,0.8553194565169837,0.16205182345482125,0.7811303978537824,0.1872170206846437
,SM,0.8675855938499613,0.18930703422564624,0.821233824946244,0.15946149729218878
"Mississippi, US",SR,-0.2519026608824021,0.34201730625424503,-0.1904506902438545,0.36501272117437594
,SR_veg,0.0997361850873684,0.28834599870358935,0.0007270452537606331,0.3184535395102416
,SR_rough,0.5438449087114494,0.27479130892642406,0.5930131217638691,0.23884058365028
,SM,0.4702004647277276,0.24640441943318064,0.5376039704613056,0.2257719655728519
