region,variant,r_smap,nrmse_smap,r_era5,nrmse_era5
Pakistan (Sindh),SR,0.9272005967097696,0.1516426075688729,0.6990989360389271,0.34572232017030147
,SR_veg,0.8987717775279913,0.15642841593172227,0.6665495617226536,0.3460998403071551
,SR_rough,0.9386682604550854,0.10985860588906635,0.7587677238650354,0.2951982026955969
,SM,0.8444032174075751,0.19982602552207446,0.5342287439349969,0.3942862369608131
Mosambique,SR,0.9739214406974009,0.096844177268424,0.9653033359209193,0.12185618861814691
,SR_veg,0.9713648009708947,0.10706579897826321,0.9659943350794074,0.12634952472999478
,SR_rough,0.9823814773788275,0.09322734585646913,0.9755900480066053,0.11528915486400566
,SM,0.9903009665527199,0.06510331829265285,0.985500091970445,0.08716497519151872
Central African Republic,SR,0.8972018614151492,0.19726103766681946,0.9654804021766525,0.09253618393841637
,SR_veg,0.8940410185417945,0.18533955147521675,0.9599471145543256,0.10544158753376527
,SR_rough,0.9581034782255939,0.11523635967000559,0.9775015712381272,0.1121608247789223
,SM,0.9531944663343905,0.13061119216736267,0.9720863334975808,0.10462940563159534
Guatemala & Honduras,SR,0.8466381043182143,0.15173795742802537,0.7903626580540632,0.19425570234102957
,SR_veg,0.8677358557312815,0.15861789584477337,0.8212197659892675,0.19476383918758874
,SR_rough,0.9292610879917937,0.1139712980058597,0.8876209148495102,0.15221100327442177
,SM,0.9228633194132743,0.11001820613981803,0.8773753221982847,0.14998151781300229
Brasil,SR,0.5695472952244559,0.22486021007211116,0.18630353479820505,0.3228380737427823
,SR_veg,0.22887996421908718,0.348569607417506,0.888524159666005,0.1464280008268695
,SR_rough,0.4843882367517025,0.2692902072123556,0.9396550376965483,0.10560505640761782
,SM,0.5562111347185228,0.23966031167406027,0.9196539201631659,0.10611289984487851
"Mississippi, US",SR,0.982853890649853,0.057967720543900814,0.952743551472857,0.14906276989529715
,SR_veg,0.9319127017514253,0.10920633623268225,0.8938288915708441,0.1473528083978632
,SR_rough,0.9483555907626009,0.09687435414530965,0.9121521064401819,0.1370247006503665
,SM,0.964708094700157,0.087921675163663,0.9326602698462234,0.11992118466706848
